,Price
13,"[41588, 41535, 41565, 41611, 41591, 41591, 41557, 41561, 41561, 41571, 41574, 41538, 41519, 41556, 41554, 41566, 41600, 41665, 41637, 41618, 41624, 41629, 41599, 41586, 41595, 41598, 41613, 41639, 41638, 41644, 41668, 41669, 41629, 41660, 41691, 41689, 41689, 41834, 41814, 41859, 41780, 41762, 41738, 41750, 41709, 41709, 41774, 41756, 41776, 41803, 41788, 41825, 41895, 41925, 41880, 41813, 41863, 41912, 41843, 41876]"
14,"[41668, 41669, 41629, 41660, 41691, 41689, 41689, 41834, 41814, 41859, 41780, 41762, 41738, 41750, 41709, 41709, 41774, 41756, 41776, 41803, 41788, 41825, 41895, 41925, 41880, 41813, 41863, 41912, 41843, 41876, 41912, 41889, 42763, 43500, 43434, 43604, 43761, 44000, 43846, 43641, 43835, 43709, 43653, 43712, 43653, 43526, 43753, 43739, 43750, 43782, 43766, 43607, 43478, 43367, 43293, 43376, 43269, 43191, 43133, 43026]"
15,"[41912, 41889, 42763, 43500, 43434, 43604, 43761, 44000, 43846, 43641, 43835, 43709, 43653, 43712, 43653, 43526, 43753, 43739, 43750, 43782, 43766, 43607, 43478, 43367, 43293, 43376, 43269, 43191, 43133, 43026, 43000, 43121, 43115, 43144, 43177, 43220, 43175, 43265, 43233, 43154, 43194, 43202, 43277, 43244, 43269, 43170, 43113, 43089, 43040, 42959, 42995, 42999, 42974, 42967, 42888, 42929, 43041, 43077, 43121, 43108]"
16,"[43000, 43121, 43115, 43144, 43177, 43220, 43175, 43265, 43233, 43154, 43194, 43202, 43277, 43244, 43269, 43170, 43113, 43089, 43040, 42959, 42995, 42999, 42974, 42967, 42888, 42929, 43041, 43077, 43121, 43108, 43063, 42972, 43064, 43150, 43132, 43127, 43153, 43209, 43245, 43238, 43174, 43165, 43170, 43163, 43154, 43204, 43196, 43150, 43170, 43216, 43220, 43247, 43195, 43191, 43193, 43193, 43149, 43162, 43205, 43160]"
17,"[43063, 42972, 43064, 43150, 43132, 43127, 43153, 43209, 43245, 43238, 43174, 43165, 43170, 43163, 43154, 43204, 43196, 43150, 43170, 43216, 43220, 43247, 43195, 43191, 43193, 43193, 43149, 43162, 43205, 43160, 43179, 43256, 43488, 43325, 43428, 43358, 43282, 43313, 43391, 43431, 43482, 43559, 43476, 43404, 43373, 43306, 43286, 43269, 43177, 43265, 43308, 43287, 43266, 43261, 43279, 43294, 43350, 43342, 43388, 43377]"
18,"[43179, 43256, 43488, 43325, 43428, 43358, 43282, 43313, 43391, 43431, 43482, 43559, 43476, 43404, 43373, 43306, 43286, 43269, 43177, 43265, 43308, 43287, 43266, 43261, 43279, 43294, 43350, 43342, 43388, 43377, 43345, 43330, 43338, 43427, 43523, 43520, 43447, 43483, 43429, 43424, 43433, 43464, 43455, 43472, 43525, 43472, 43544, 43467, 43358, 43351, 43402, 43401, 43408, 43427, 43463, 43538, 43522, 43499, 43545, 43560]"
19,"[43345, 43330, 43338, 43427, 43523, 43520, 43447, 43483, 43429, 43424, 43433, 43464, 43455, 43472, 43525, 43472, 43544, 43467, 43358, 43351, 43402, 43401, 43408, 43427, 43463, 43538, 43522, 43499, 43545, 43560, 43523, 43573, 43586, 43561, 43507, 43514, 43534, 43501, 43473, 43451, 43444, 43377, 43387, 43347, 43288, 43263, 43286, 43267, 43249, 43286, 43318, 43339, 43376, 43318, 43331, 43309, 43282, 43270, 43287, 43278]"
20,"[43523, 43573, 43586, 43561, 43507, 43514, 43534, 43501, 43473, 43451, 43444, 43377, 43387, 43347, 43288, 43263, 43286, 43267, 43249, 43286, 43318, 43339, 43376, 43318, 43331, 43309, 43282, 43270, 43287, 43278, 43327, 43286, 43302, 43312, 43289, 43305, 43321, 43330, 43314, 43323, 43399, 43425, 43377, 43400, 43387, 43337, 43345, 43348, 43360, 43378, 43383, 43392, 43362, 43319, 43365, 43341, 43273, 43238, 43238, 43259]"
21,"[43327, 43286, 43302, 43312, 43289, 43305, 43321, 43330, 43314, 43323, 43399, 43425, 43377, 43400, 43387, 43337, 43345, 43348, 43360, 43378, 43383, 43392, 43362, 43319, 43365, 43341, 43273, 43238, 43238, 43259, 43264, 43271, 43244, 43216, 43225, 43166, 43132, 43150, 43143, 43106, 43134, 43104, 43076, 43110, 43084, 42972, 43077, 43124, 43170, 43153, 43148, 43173, 43206, 43208, 43181, 43163, 43138, 43076, 43026, 43050]"
22,"[43264, 43271, 43244, 43216, 43225, 43166, 43132, 43150, 43143, 43106, 43134, 43104, 43076, 43110, 43084, 42972, 43077, 43124, 43170, 43153, 43148, 43173, 43206, 43208, 43181, 43163, 43138, 43076, 43026, 43050, 43024, 43012, 43021, 43026, 43042, 43067, 43091, 43100, 43080, 43060, 43095, 43091, 43127, 43100, 43113, 43105, 43124, 43125, 43108, 43117, 43107, 43075, 43126, 43108, 43083, 43120, 43153, 43155, 43163, 43160]"
