,Price
57,"[43933, 43897, 43875, 43844, 43840, 43840, 43803, 43797, 43897, 43859, 43834, 43818, 43859, 43843, 43852, 43833, 43813, 43809, 43773, 43752, 43735, 43690, 43703, 43700, 43694, 43711, 43698, 43689, 43717, 43719, 43770, 43755, 43779, 43792, 43864, 43910, 43938, 43911, 43849, 43800, 43733, 43750, 43771, 43898, 43879, 43930, 43870, 43851, 43833, 43821, 43795, 43777, 43798, 43861, 43884, 43871, 43912, 43957, 43877, 43864]"
58,"[43770, 43755, 43779, 43792, 43864, 43910, 43938, 43911, 43849, 43800, 43733, 43750, 43771, 43898, 43879, 43930, 43870, 43851, 43833, 43821, 43795, 43777, 43798, 43861, 43884, 43871, 43912, 43957, 43877, 43864, 43820, 43840, 43886, 43913, 43915, 43914, 43906, 43939, 43958, 43993, 43954, 44093, 44020, 44029, 43904, 43922, 43928, 43928, 43940, 43916, 43919, 43950, 43931, 43944, 44081, 44007, 44046, 44050, 44073, 44084]"
59,"[43820, 43840, 43886, 43913, 43915, 43914, 43906, 43939, 43958, 43993, 43954, 44093, 44020, 44029, 43904, 43922, 43928, 43928, 43940, 43916, 43919, 43950, 43931, 43944, 44081, 44007, 44046, 44050, 44073, 44084, 44218, 44158, 44183, 44177, 44203, 44160, 44126, 44085, 44042, 44058, 44041, 44017, 44041, 44000, 43953, 43880, 43794, 43839, 43927, 43950, 43858, 44007, 44059, 44010, 43983, 44034, 44054, 44093, 44079, 44017]"
60,"[44218, 44158, 44183, 44177, 44203, 44160, 44126, 44085, 44042, 44058, 44041, 44017, 44041, 44000, 43953, 43880, 43794, 43839, 43927, 43950, 43858, 44007, 44059, 44010, 43983, 44034, 44054, 44093, 44079, 44017, 44039, 43985, 43895, 43914, 43903, 43914, 43850, 43847, 43854, 43858, 43877, 43859, 43840, 43793, 43796, 43820, 43831, 43888, 43853, 43836, 43838, 43780, 43754, 43802, 43785, 43813, 43829, 43888, 43849, 43882]"
61,"[44039, 43985, 43895, 43914, 43903, 43914, 43850, 43847, 43854, 43858, 43877, 43859, 43840, 43793, 43796, 43820, 43831, 43888, 43853, 43836, 43838, 43780, 43754, 43802, 43785, 43813, 43829, 43888, 43849, 43882, 43873, 43823, 43782, 43780, 43785, 43789, 43822, 43824, 43850, 43839, 43813, 43802, 43831, 43827, 43842, 43864, 43888, 43868, 43858, 43860, 43884, 43876, 43952, 43953, 43958, 43907, 43949, 43953, 43955, 43955]"
62,"[43873, 43823, 43782, 43780, 43785, 43789, 43822, 43824, 43850, 43839, 43813, 43802, 43831, 43827, 43842, 43864, 43888, 43868, 43858, 43860, 43884, 43876, 43952, 43953, 43958, 43907, 43949, 43953, 43955, 43955, 43949, 43934, 43924, 43922, 43929, 43969, 44100, 44112, 44051, 44046, 44147, 44129, 44085, 44118, 44147, 44127, 44126, 44139, 44078, 44077, 44072, 44070, 44053, 44114, 44150, 44122, 44171, 44169, 44173, 44156]"
63,"[43949, 43934, 43924, 43922, 43929, 43969, 44100, 44112, 44051, 44046, 44147, 44129, 44085, 44118, 44147, 44127, 44126, 44139, 44078, 44077, 44072, 44070, 44053, 44114, 44150, 44122, 44171, 44169, 44173, 44156, 44117, 44097, 44104, 44106, 44112, 44117, 44178, 44181, 44209, 44170, 44067, 44096, 44074, 44091, 44124, 44134, 44090, 44097, 44132, 44146, 44144, 44152, 44176, 44175, 44160, 44169, 44168, 44185, 44195, 44129]"
64,"[44117, 44097, 44104, 44106, 44112, 44117, 44178, 44181, 44209, 44170, 44067, 44096, 44074, 44091, 44124, 44134, 44090, 44097, 44132, 44146, 44144, 44152, 44176, 44175, 44160, 44169, 44168, 44185, 44195, 44129, 44120, 44133, 44115, 44173, 44238, 44254, 44238, 44265, 44335, 44310, 44350, 44335, 44322, 44366, 44396, 44378, 44369, 44357, 44350, 44405, 44487, 44490, 44400, 44359, 44371, 44376, 44371, 44395, 44392, 44421]"
65,"[44120, 44133, 44115, 44173, 44238, 44254, 44238, 44265, 44335, 44310, 44350, 44335, 44322, 44366, 44396, 44378, 44369, 44357, 44350, 44405, 44487, 44490, 44400, 44359, 44371, 44376, 44371, 44395, 44392, 44421, 44382, 44329, 44419, 44464, 44648, 44652, 44593, 44528, 44444, 44452, 44488, 44524, 44460, 44513, 44587, 44561, 44548, 44513, 44550, 44533, 44493, 44523, 44505, 44416, 44246, 44150, 44287, 44200, 44132, 44233]"
66,"[44382, 44329, 44419, 44464, 44648, 44652, 44593, 44528, 44444, 44452, 44488, 44524, 44460, 44513, 44587, 44561, 44548, 44513, 44550, 44533, 44493, 44523, 44505, 44416, 44246, 44150, 44287, 44200, 44132, 44233, 44162, 44072, 44149, 44079, 44025, 43977, 43954, 43994, 44071, 44144, 44131, 44117, 44137, 44181, 44150, 44195, 44198, 44194, 44218, 44209, 44152, 44108, 44115, 44188, 44180, 44173, 44207, 44253, 44285, 44280]"
67,"[44162, 44072, 44149, 44079, 44025, 43977, 43954, 43994, 44071, 44144, 44131, 44117, 44137, 44181, 44150, 44195, 44198, 44194, 44218, 44209, 44152, 44108, 44115, 44188, 44180, 44173, 44207, 44253, 44285, 44280, 44281, 44225, 44265, 44353, 44334, 44289, 44307, 44340, 44359, 44322, 44293, 44310, 44263, 44262, 44258, 44220, 44196, 44213, 44159, 44119, 44024, 43950, 43920, 43967, 43977, 43914, 43913, 43909, 43905, 43914]"
68,"[44281, 44225, 44265, 44353, 44334, 44289, 44307, 44340, 44359, 44322, 44293, 44310, 44263, 44262, 44258, 44220, 44196, 44213, 44159, 44119, 44024, 43950, 43920, 43967, 43977, 43914, 43913, 43909, 43905, 43914, 43854, 43933, 43946, 43986, 44004, 43980, 44028, 44008, 43986, 43917, 43904, 43880, 43918, 43907, 43883, 43918, 43979, 43964, 43934, 43914, 43948, 43931, 43892, 43935, 43967, 43960, 43985, 44008, 44022, 44027]"
69,"[43854, 43933, 43946, 43986, 44004, 43980, 44028, 44008, 43986, 43917, 43904, 43880, 43918, 43907, 43883, 43918, 43979, 43964, 43934, 43914, 43948, 43931, 43892, 43935, 43967, 43960, 43985, 44008, 44022, 44027, 43934, 43922, 43862, 44055, 44059, 44100, 44072, 44076, 44048, 44022, 44079, 44088, 44101, 44057, 44080, 43993, 43955, 43940, 43917, 43952, 43944, 43966, 43952, 43951, 43989, 43967, 43964, 44005, 44041, 44021]"
70,"[43934, 43922, 43862, 44055, 44059, 44100, 44072, 44076, 44048, 44022, 44079, 44088, 44101, 44057, 44080, 43993, 43955, 43940, 43917, 43952, 43944, 43966, 43952, 43951, 43989, 43967, 43964, 44005, 44041, 44021, 44075, 44059, 44089, 44086, 44071, 44076, 44098, 44086, 44094, 44096, 44116, 44119, 44058, 44087, 44109, 44133, 44140, 44126, 44050, 44019, 43983, 44020, 43994, 44064, 44072, 44093, 44149, 44222, 44207, 44224]"
71,"[44075, 44059, 44089, 44086, 44071, 44076, 44098, 44086, 44094, 44096, 44116, 44119, 44058, 44087, 44109, 44133, 44140, 44126, 44050, 44019, 43983, 44020, 43994, 44064, 44072, 44093, 44149, 44222, 44207, 44224, 44227, 44248, 44279, 44271, 44277, 44272, 44280, 44266, 44262, 44234, 44234, 44251, 44255, 44265, 44265, 44254, 44243, 44200, 44208, 44192, 44165, 44150, 44150, 44084, 44134, 44112, 44094, 44117, 44144, 44142]"
72,"[44227, 44248, 44279, 44271, 44277, 44272, 44280, 44266, 44262, 44234, 44234, 44251, 44255, 44265, 44265, 44254, 44243, 44200, 44208, 44192, 44165, 44150, 44150, 44084, 44134, 44112, 44094, 44117, 44144, 44142, 44128, 44179, 44189, 44232, 44224, 44248, 44327, 44376, 44353, 44434, 44393, 44463, 44468, 44425, 44434, 44398, 44376, 44416, 44498, 44528, 44500, 44509, 44423, 44429, 44410, 44356, 44336, 44363, 44338, 44324]"
73,"[44128, 44179, 44189, 44232, 44224, 44248, 44327, 44376, 44353, 44434, 44393, 44463, 44468, 44425, 44434, 44398, 44376, 44416, 44498, 44528, 44500, 44509, 44423, 44429, 44410, 44356, 44336, 44363, 44338, 44324, 44280, 44256, 44264, 44307, 44369, 44414, 44476, 44469, 44436, 44405, 44334, 44316, 44330, 44360, 44392, 44365, 44363, 44301, 44377, 44397, 44436, 44511, 44446, 44458, 44498, 44472, 44459, 44487, 44445, 44421]"
74,"[44280, 44256, 44264, 44307, 44369, 44414, 44476, 44469, 44436, 44405, 44334, 44316, 44330, 44360, 44392, 44365, 44363, 44301, 44377, 44397, 44436, 44511, 44446, 44458, 44498, 44472, 44459, 44487, 44445, 44421, 44379, 44405, 44441, 44433, 44461, 44503, 44464, 44462, 44442, 44470, 44437, 44403, 44400, 44382, 44395, 44364, 44371, 44331, 44341, 44313, 44344, 44331, 44313, 44308, 44198, 44271, 44237, 44251, 44259, 44248]"
75,"[44379, 44405, 44441, 44433, 44461, 44503, 44464, 44462, 44442, 44470, 44437, 44403, 44400, 44382, 44395, 44364, 44371, 44331, 44341, 44313, 44344, 44331, 44313, 44308, 44198, 44271, 44237, 44251, 44259, 44248, 44285, 44283, 44270, 44241, 44239, 44265, 44245, 44227, 44213, 44190, 44248, 44259, 44266, 44256, 44247, 44247, 44254, 44333, 44326, 44327, 44316, 44304, 44331, 44306, 44292, 44284, 44222, 44138, 44133, 44142]"
76,"[44285, 44283, 44270, 44241, 44239, 44265, 44245, 44227, 44213, 44190, 44248, 44259, 44266, 44256, 44247, 44247, 44254, 44333, 44326, 44327, 44316, 44304, 44331, 44306, 44292, 44284, 44222, 44138, 44133, 44142, 44130, 44133, 44144, 44163, 44218, 44197, 44212, 44222, 44183, 44167, 44170, 44172, 44195, 44229, 44248, 44267, 44251, 44232, 44229, 44217, 44241, 44233, 44222, 44237, 44270, 44290, 44287, 44261, 44260, 44269]"
77,"[44130, 44133, 44144, 44163, 44218, 44197, 44212, 44222, 44183, 44167, 44170, 44172, 44195, 44229, 44248, 44267, 44251, 44232, 44229, 44217, 44241, 44233, 44222, 44237, 44270, 44290, 44287, 44261, 44260, 44269, 44203, 44201, 44201, 44212, 44220, 44202, 44214, 44286, 44335, 44303, 44255, 44216, 44183, 44208, 44175, 44199, 44199, 44182, 44205, 44199, 44177, 44181, 44116, 44122, 44096, 44110, 44102, 44108, 44088, 44120]"
78,"[44203, 44201, 44201, 44212, 44220, 44202, 44214, 44286, 44335, 44303, 44255, 44216, 44183, 44208, 44175, 44199, 44199, 44182, 44205, 44199, 44177, 44181, 44116, 44122, 44096, 44110, 44102, 44108, 44088, 44120, 44130, 44098, 44077, 44064, 44035, 44044, 44058, 44055, 44035, 44093, 44088, 44081, 44070, 44061, 44052, 44083, 44073, 44063, 44017, 44024, 44055, 44053, 44040, 44058, 44035, 43967, 43922, 43940, 43950, 43927]"
79,"[44130, 44098, 44077, 44064, 44035, 44044, 44058, 44055, 44035, 44093, 44088, 44081, 44070, 44061, 44052, 44083, 44073, 44063, 44017, 44024, 44055, 44053, 44040, 44058, 44035, 43967, 43922, 43940, 43950, 43927, 43955, 43948, 43848, 43889, 43890, 43918, 43875, 43872, 43860, 43858, 43803, 43770, 43772, 43798, 43800, 43739, 43727, 43780, 43799, 43751, 43726, 43703, 43658, 43712, 43716, 43780, 43795, 43794, 43853, 43880]"
80,"[43955, 43948, 43848, 43889, 43890, 43918, 43875, 43872, 43860, 43858, 43803, 43770, 43772, 43798, 43800, 43739, 43727, 43780, 43799, 43751, 43726, 43703, 43658, 43712, 43716, 43780, 43795, 43794, 43853, 43880, 43946, 43881, 43882, 43865, 43864, 43876, 43880, 43868, 43860, 43830, 43876, 43886, 43895, 43908, 43910, 43907, 43876, 43875, 43864, 43951, 43951, 43936, 43900, 43906, 43897, 43882, 43898, 43898, 43942, 43973]"
81,"[43946, 43881, 43882, 43865, 43864, 43876, 43880, 43868, 43860, 43830, 43876, 43886, 43895, 43908, 43910, 43907, 43876, 43875, 43864, 43951, 43951, 43936, 43900, 43906, 43897, 43882, 43898, 43898, 43942, 43973, 43965, 43984, 43990, 43991, 44010, 43877, 43860, 43789, 43824, 43862, 43905, 43921, 43933, 43933, 43938, 43970, 44090, 44132, 44213, 44229, 44242, 44200, 44155, 44188, 44140, 44124, 44120, 44146, 44180, 44170]"
82,"[43965, 43984, 43990, 43991, 44010, 43877, 43860, 43789, 43824, 43862, 43905, 43921, 43933, 43933, 43938, 43970, 44090, 44132, 44213, 44229, 44242, 44200, 44155, 44188, 44140, 44124, 44120, 44146, 44180, 44170, 44160, 44203, 44205, 44209, 44181, 44159, 44129, 44119, 44171, 44181, 44154, 44136, 44110, 44086, 44105, 44063, 44072, 44054, 43996, 43985, 43944, 43901, 43935, 43927, 43896, 43808, 43830, 43860, 43836, 43839]"
83,"[44160, 44203, 44205, 44209, 44181, 44159, 44129, 44119, 44171, 44181, 44154, 44136, 44110, 44086, 44105, 44063, 44072, 44054, 43996, 43985, 43944, 43901, 43935, 43927, 43896, 43808, 43830, 43860, 43836, 43839, 43773, 43791, 43834, 43841, 43872, 43902, 43942, 43926, 43897, 43898, 43908, 43928, 43932, 43935, 43862, 43852, 43905, 43915, 43969, 43955, 43966, 43950, 43930, 43947, 43905, 43914, 43905, 43875, 43809, 43849]"
84,"[43773, 43791, 43834, 43841, 43872, 43902, 43942, 43926, 43897, 43898, 43908, 43928, 43932, 43935, 43862, 43852, 43905, 43915, 43969, 43955, 43966, 43950, 43930, 43947, 43905, 43914, 43905, 43875, 43809, 43849, 44068, 44000, 43881, 43848, 43921, 44027, 43991, 43982, 43981, 43982, 43967, 43938, 43960, 43990, 43971, 43933, 43961, 44005, 44007, 44012, 44039, 44015, 43965, 43958, 43928, 43908, 43883, 43899, 43893, 43907]"
85,"[44068, 44000, 43881, 43848, 43921, 44027, 43991, 43982, 43981, 43982, 43967, 43938, 43960, 43990, 43971, 43933, 43961, 44005, 44007, 44012, 44039, 44015, 43965, 43958, 43928, 43908, 43883, 43899, 43893, 43907, 43921, 43915, 44015, 44040, 43987, 43968, 44025, 44069, 44080, 44070, 44068, 44066, 44078, 44078, 44078, 44081, 44036, 44092, 44125, 44100, 44102, 44144, 44107, 44115, 44100, 44130, 44158, 44115, 44151, 44111]"
86,"[43921, 43915, 44015, 44040, 43987, 43968, 44025, 44069, 44080, 44070, 44068, 44066, 44078, 44078, 44078, 44081, 44036, 44092, 44125, 44100, 44102, 44144, 44107, 44115, 44100, 44130, 44158, 44115, 44151, 44111, 44104, 44155, 44172, 44208, 44260, 44217, 44287, 44282, 44296, 44247, 44218, 44189, 44218, 44180, 44200, 44189, 44219, 44208, 44204, 44213, 44154, 44150, 44173, 44150, 44160, 44176, 44106, 44123, 44127, 44139]"
87,"[44104, 44155, 44172, 44208, 44260, 44217, 44287, 44282, 44296, 44247, 44218, 44189, 44218, 44180, 44200, 44189, 44219, 44208, 44204, 44213, 44154, 44150, 44173, 44150, 44160, 44176, 44106, 44123, 44127, 44139, 44137, 44087, 44066, 44097, 44093, 44093, 44033, 44056, 44068, 44075, 44066, 44094, 44140, 44219, 44177, 44190, 44188, 44158, 44133, 44116, 44109, 44105, 44021, 44028, 44115, 44134, 44147, 44125, 44105, 44125]"
88,"[44137, 44087, 44066, 44097, 44093, 44093, 44033, 44056, 44068, 44075, 44066, 44094, 44140, 44219, 44177, 44190, 44188, 44158, 44133, 44116, 44109, 44105, 44021, 44028, 44115, 44134, 44147, 44125, 44105, 44125, 44110, 44107, 44119, 44095, 44070, 44077, 44121, 44104, 44083, 44067, 44055, 44083, 44079, 44109, 44206, 44175, 44174, 44181, 44152, 44163, 44145, 44115, 44136, 44100, 44105, 44100, 44094, 44083, 44100, 44103]"
89,"[44110, 44107, 44119, 44095, 44070, 44077, 44121, 44104, 44083, 44067, 44055, 44083, 44079, 44109, 44206, 44175, 44174, 44181, 44152, 44163, 44145, 44115, 44136, 44100, 44105, 44100, 44094, 44083, 44100, 44103, 44070, 44108, 44126, 44146, 44169, 44151, 44182, 44164, 44177, 44164, 44176, 44175, 44170, 44169, 44215, 44271, 44322, 44229, 44121, 44053, 44008, 43954, 43982, 43960, 43993, 44052, 43990, 43925, 43933, 43940]"
90,"[44070, 44108, 44126, 44146, 44169, 44151, 44182, 44164, 44177, 44164, 44176, 44175, 44170, 44169, 44215, 44271, 44322, 44229, 44121, 44053, 44008, 43954, 43982, 43960, 43993, 44052, 43990, 43925, 43933, 43940, 43860, 43850, 43898, 43852, 43854, 43857, 43897, 43901, 43930, 43950, 43959, 43954, 43964, 43916, 43918, 43857, 43880, 43927, 43980, 43980, 44054, 44077, 44043, 44024, 44024, 43965, 43991, 43982, 43996, 44005]"
91,"[43860, 43850, 43898, 43852, 43854, 43857, 43897, 43901, 43930, 43950, 43959, 43954, 43964, 43916, 43918, 43857, 43880, 43927, 43980, 43980, 44054, 44077, 44043, 44024, 44024, 43965, 43991, 43982, 43996, 44005, 43979, 43955, 43958, 43964, 43960, 44026, 43982, 43961, 43902, 43910, 43912, 43923, 43904, 43859, 43840, 43799, 43694, 43651, 43621, 43605, 43642, 43691, 43652, 43563, 43650, 43606, 43672, 43718, 43695, 43706]"
92,"[43979, 43955, 43958, 43964, 43960, 44026, 43982, 43961, 43902, 43910, 43912, 43923, 43904, 43859, 43840, 43799, 43694, 43651, 43621, 43605, 43642, 43691, 43652, 43563, 43650, 43606, 43672, 43718, 43695, 43706, 43762, 43659, 43517, 43566, 43548, 43496, 43499, 43481, 43470, 43487, 43431, 43426, 43397, 43340, 43408, 43462, 43457, 43509, 43505, 43510, 43530, 43500, 43486, 43485, 43512, 43489, 43463, 43464, 43423, 43525]"
93,"[43762, 43659, 43517, 43566, 43548, 43496, 43499, 43481, 43470, 43487, 43431, 43426, 43397, 43340, 43408, 43462, 43457, 43509, 43505, 43510, 43530, 43500, 43486, 43485, 43512, 43489, 43463, 43464, 43423, 43525, 43571, 43602, 43650, 43632, 43636, 43678, 43640, 43606, 43600, 43610, 43646, 43642, 43630, 43618, 43666, 43636, 43704, 43674, 43710, 43723, 43695, 43682, 43678, 43670, 43704, 43730, 43701, 43701, 43769, 43730]"
94,"[43571, 43602, 43650, 43632, 43636, 43678, 43640, 43606, 43600, 43610, 43646, 43642, 43630, 43618, 43666, 43636, 43704, 43674, 43710, 43723, 43695, 43682, 43678, 43670, 43704, 43730, 43701, 43701, 43769, 43730, 43813, 43805, 43831, 43786, 43790, 43756, 43796, 43856, 43903, 43936, 44065, 44326, 44425, 44652, 44800, 44606, 44682, 44653, 44647, 44685, 44676, 44666, 44660, 44656, 44680, 44691, 44629, 44679, 44744, 44819]"
95,"[43813, 43805, 43831, 43786, 43790, 43756, 43796, 43856, 43903, 43936, 44065, 44326, 44425, 44652, 44800, 44606, 44682, 44653, 44647, 44685, 44676, 44666, 44660, 44656, 44680, 44691, 44629, 44679, 44744, 44819, 45337, 45258, 45193, 45131, 45020, 44957, 44911, 44375, 44376, 44280, 44310, 44312, 44226, 44110, 44077, 44160, 44224, 44057, 44056, 44077, 44205, 44243, 44285, 44158, 44152, 44181, 44102, 43881, 44023, 44389]"
96,"[45337, 45258, 45193, 45131, 45020, 44957, 44911, 44375, 44376, 44280, 44310, 44312, 44226, 44110, 44077, 44160, 44224, 44057, 44056, 44077, 44205, 44243, 44285, 44158, 44152, 44181, 44102, 43881, 44023, 44389, 44455, 44340, 44362, 44391, 44180, 44215, 44278, 44356, 44351, 44327, 44279, 44264, 44209, 44192, 44180, 44139, 44137, 44211, 44200, 44242, 44213, 44168, 44173, 44117, 44061, 44130, 44152, 44152, 44130, 44126]"
97,"[44455, 44340, 44362, 44391, 44180, 44215, 44278, 44356, 44351, 44327, 44279, 44264, 44209, 44192, 44180, 44139, 44137, 44211, 44200, 44242, 44213, 44168, 44173, 44117, 44061, 44130, 44152, 44152, 44130, 44126, 44055, 44032, 44178, 44226, 44274, 44270, 44262, 44370, 44363, 44339, 44294, 44312, 44314, 44305, 44368, 44335, 44329, 44324, 44286, 44300, 44469, 44392, 44373, 44300, 44285, 44297, 44330, 44334, 44374, 44323]"
98,"[44055, 44032, 44178, 44226, 44274, 44270, 44262, 44370, 44363, 44339, 44294, 44312, 44314, 44305, 44368, 44335, 44329, 44324, 44286, 44300, 44469, 44392, 44373, 44300, 44285, 44297, 44330, 44334, 44374, 44323, 44354, 44425, 44453, 44423, 44375, 44341, 44307, 44321, 44332, 44328, 44363, 44294, 44310, 44302, 44298, 44323, 44321, 44345, 44304, 44270, 44273, 44278, 44291, 44240, 44247, 44264, 44246, 44265, 44250, 44243]"
99,"[44354, 44425, 44453, 44423, 44375, 44341, 44307, 44321, 44332, 44328, 44363, 44294, 44310, 44302, 44298, 44323, 44321, 44345, 44304, 44270, 44273, 44278, 44291, 44240, 44247, 44264, 44246, 44265, 44250, 44243, 44188, 44257, 44333, 44307, 44293, 44287, 44308, 44318, 44333, 44355, 44369, 44325, 44295, 44306, 44314, 44310, 44310, 44260, 44271, 44267, 44271, 44238, 44243, 44218, 44222, 44143, 44122, 44143, 44123, 44123]"
100,"[44188, 44257, 44333, 44307, 44293, 44287, 44308, 44318, 44333, 44355, 44369, 44325, 44295, 44306, 44314, 44310, 44310, 44260, 44271, 44267, 44271, 44238, 44243, 44218, 44222, 44143, 44122, 44143, 44123, 44123, 44065, 44121, 44113, 44170, 44157, 44125, 44169, 44157, 44152, 44149, 44121, 44143, 44115, 44125, 44122, 44146, 44130, 44088, 43959, 43949, 43897, 43905, 43900, 43740, 43775, 43798, 43806, 43795, 43783, 43750]"
101,"[44065, 44121, 44113, 44170, 44157, 44125, 44169, 44157, 44152, 44149, 44121, 44143, 44115, 44125, 44122, 44146, 44130, 44088, 43959, 43949, 43897, 43905, 43900, 43740, 43775, 43798, 43806, 43795, 43783, 43750, 43839, 43843, 43858, 43861, 43880, 43873, 43888, 43916, 43914, 43895, 43929, 43899, 43875, 43880, 43886, 43877, 43882, 43878, 43845, 43748, 43799, 43832, 43807, 43786, 43780, 43833, 43829, 43813, 43830, 43822]"
102,"[43839, 43843, 43858, 43861, 43880, 43873, 43888, 43916, 43914, 43895, 43929, 43899, 43875, 43880, 43886, 43877, 43882, 43878, 43845, 43748, 43799, 43832, 43807, 43786, 43780, 43833, 43829, 43813, 43830, 43822, 43875, 43868, 43840, 43878, 43883, 43842, 43849, 43817, 43766, 43701, 43646, 43654, 43632, 43643, 43637, 43600, 43619, 43608, 43589, 43594, 43631, 43609, 43655, 43603, 43610, 43624, 43595, 43614, 43601, 43600]"
103,"[43875, 43868, 43840, 43878, 43883, 43842, 43849, 43817, 43766, 43701, 43646, 43654, 43632, 43643, 43637, 43600, 43619, 43608, 43589, 43594, 43631, 43609, 43655, 43603, 43610, 43624, 43595, 43614, 43601, 43600, 43620, 43678, 43668, 43683, 43671, 43686, 43737, 43719, 43743, 43675, 43670, 43662, 43690, 43695, 43657, 43666, 43637, 43622, 43606, 43631, 43636, 43550, 43554, 43555, 43523, 43478, 43493, 43487, 43486, 43523]"
104,"[43620, 43678, 43668, 43683, 43671, 43686, 43737, 43719, 43743, 43675, 43670, 43662, 43690, 43695, 43657, 43666, 43637, 43622, 43606, 43631, 43636, 43550, 43554, 43555, 43523, 43478, 43493, 43487, 43486, 43523, 43478, 43502, 43448, 43501, 43499, 43614, 43609, 43632, 43662, 43710, 43704, 43737, 43741, 43739, 43721, 43749, 43716, 43722, 43715, 43738, 43770, 43748, 43720, 43742, 43721, 43750, 43737, 43718, 43710, 43704]"
105,"[43478, 43502, 43448, 43501, 43499, 43614, 43609, 43632, 43662, 43710, 43704, 43737, 43741, 43739, 43721, 43749, 43716, 43722, 43715, 43738, 43770, 43748, 43720, 43742, 43721, 43750, 43737, 43718, 43710, 43704, 43686, 43745, 43765, 43795, 43764, 43733, 43730, 43772, 43738, 43740, 43740, 43721, 43706, 43735, 43708, 43709, 43720, 43720, 43720, 43746, 43683, 43728, 43740, 43726, 43726, 43730, 43743, 43742, 43732, 43749]"
106,"[43686, 43745, 43765, 43795, 43764, 43733, 43730, 43772, 43738, 43740, 43740, 43721, 43706, 43735, 43708, 43709, 43720, 43720, 43720, 43746, 43683, 43728, 43740, 43726, 43726, 43730, 43743, 43742, 43732, 43749, 43766, 43770, 43799, 43809, 43823, 43818, 43799, 43809, 43799, 43764, 43749, 43767, 43770, 43780, 43798, 43799, 43753, 43761, 43804, 43840, 43837, 43839, 43820, 43801, 43820, 43822, 43811, 43779, 43785, 43803]"
107,"[43766, 43770, 43799, 43809, 43823, 43818, 43799, 43809, 43799, 43764, 43749, 43767, 43770, 43780, 43798, 43799, 43753, 43761, 43804, 43840, 43837, 43839, 43820, 43801, 43820, 43822, 43811, 43779, 43785, 43803, 43781, 43782, 43773, 43765, 43766, 43766, 43757, 43758, 43755, 43773, 43770, 43779, 43761, 43759, 43757, 43754, 43804, 43819, 43822, 43852, 43836, 43831, 43829, 43824, 43829, 43820, 43823, 43802, 43803, 43786]"
108,"[43781, 43782, 43773, 43765, 43766, 43766, 43757, 43758, 43755, 43773, 43770, 43779, 43761, 43759, 43757, 43754, 43804, 43819, 43822, 43852, 43836, 43831, 43829, 43824, 43829, 43820, 43823, 43802, 43803, 43786, 43792, 43792, 43770, 43782, 43797, 43808, 43804, 43820, 43795, 43796, 43806, 43802, 43815, 43822, 43818, 43828, 43851, 43828, 43810, 43828, 43867, 43902, 43893, 43893, 43903, 43903, 43899, 43906, 43921, 44068]"
109,"[43792, 43792, 43770, 43782, 43797, 43808, 43804, 43820, 43795, 43796, 43806, 43802, 43815, 43822, 43818, 43828, 43851, 43828, 43810, 43828, 43867, 43902, 43893, 43893, 43903, 43903, 43899, 43906, 43921, 44068, 44130, 44108, 44127, 44146, 44148, 44239, 44167, 44114, 44100, 43998, 44025, 44021, 44030, 43973, 43999, 43950, 43959, 43917, 43925, 43981, 44045, 44032, 44076, 44041, 44068, 44047, 44052, 44056, 44054, 44052]"
110,"[44130, 44108, 44127, 44146, 44148, 44239, 44167, 44114, 44100, 43998, 44025, 44021, 44030, 43973, 43999, 43950, 43959, 43917, 43925, 43981, 44045, 44032, 44076, 44041, 44068, 44047, 44052, 44056, 44054, 44052, 44045, 44000, 44009, 44092, 44134, 44135, 44126, 44142, 44138, 44133, 44132, 44092, 44079, 44099, 44148, 44139, 44213, 44135, 44151, 44092, 44095, 44078, 44082, 44113, 44116, 44072, 44082, 44065, 44066, 44067]"
111,"[44045, 44000, 44009, 44092, 44134, 44135, 44126, 44142, 44138, 44133, 44132, 44092, 44079, 44099, 44148, 44139, 44213, 44135, 44151, 44092, 44095, 44078, 44082, 44113, 44116, 44072, 44082, 44065, 44066, 44067, 44069, 44084, 44095, 44072, 44096, 44142, 44107, 44151, 44142, 44127, 44088, 44060, 44057, 44073, 44075, 44092, 44115, 44140, 44163, 44091, 44066, 44086, 44087, 44122, 44112, 44090, 44111, 44114, 44114, 43990]"
112,"[44069, 44084, 44095, 44072, 44096, 44142, 44107, 44151, 44142, 44127, 44088, 44060, 44057, 44073, 44075, 44092, 44115, 44140, 44163, 44091, 44066, 44086, 44087, 44122, 44112, 44090, 44111, 44114, 44114, 43990, 43976, 43920, 43962, 43968, 44006, 43958, 43956, 43966, 43972, 43965, 43984, 43950, 43937, 43919, 43938, 43950, 43932, 43925, 43875, 43891, 43864, 43868, 43932, 43927, 43925, 43895, 43887, 43902, 43918, 43892]"
113,"[43976, 43920, 43962, 43968, 44006, 43958, 43956, 43966, 43972, 43965, 43984, 43950, 43937, 43919, 43938, 43950, 43932, 43925, 43875, 43891, 43864, 43868, 43932, 43927, 43925, 43895, 43887, 43902, 43918, 43892, 43833, 43943, 43909, 43850, 43785, 43794, 43803, 43785, 43725, 43759, 43735, 43699, 43724, 43714, 43701, 43752, 43770, 43819, 43821, 43801, 43819, 43845, 43842, 43834, 43835, 43803, 43869, 43858, 43873, 43877]"
